Timestamp,Manufacturer,Controller-Dongle,Console Compatibility,Notes,Link,"Name, Discord Username, or Gamer Tag"
12/20/2023,Mayflash,Magic Boots Xbox One,Xbox O/S/X,,https://www.mayflash.com/product/MAGONE.html,lucipher
12/20/2023,Mayflash,Magic X,Xbox O/S/X,,https://www.mayflash.com/product/magic_x.html,lucipher
